[Topology] mesh=2x2 (4 nodes), 4 cores, 0 DRAM controllers (direct, bypass NoC)
[AddressAllocator] Allocated 3729 transfer blocks, total 5059529.32 MB (alignment=64B)
[Simulator] Loaded IR: 2x2 cores, top_batch_cut=1
[Simulator] Total workloads: 1725, DRAM reads: 376, DRAM writes: 861
[BookSim2NoC] Initialized 2x2 mesh (4 nodes), 8 VCs, 1 subnets (from inline config)
[Ramulator2DRAM] Initialized from inline config (HBM HBM_2Gbps), yaml_clock_ratio=1, sim_clock_ratio=1.00, channels=4, cache_line=64B
[Simulator] Starting simulation...
[Simulator] Cycle 24200000, cores done: 0/4, workloads completed: 237/1725 (13.7%)
[Simulator] Cycle 24300000, cores done: 0/4, workloads completed: 237/1725 (13.7%)
[Simulator] Cycle 24400000, cores done: 0/4, workloads completed: 238/1725 (13.8%)
[Simulator] Cycle 24500000, cores done: 0/4, workloads completed: 238/1725 (13.8%)
[Simulator] Cycle 24600000, cores done: 0/4, workloads completed: 238/1725 (13.8%)
[Simulator] Cycle 24700000, cores done: 0/4, workloads completed: 239/1725 (13.9%)
[Simulator] Cycle 24800000, cores done: 0/4, workloads completed: 239/1725 (13.9%)
[Simulator] Cycle 24900000, cores done: 0/4, workloads completed: 240/1725 (13.9%)
[Simulator] Cycle 25000000, cores done: 0/4, workloads completed: 241/1725 (14.0%)
[Simulator] Cycle 25100000, cores done: 0/4, workloads completed: 241/1725 (14.0%)
[Simulator] Cycle 25200000, cores done: 0/4, workloads completed: 241/1725 (14.0%)
[Simulator] Cycle 25300000, cores done: 0/4, workloads completed: 242/1725 (14.0%)
[Simulator] Cycle 25400000, cores done: 0/4, workloads completed: 242/1725 (14.0%)
[Simulator] Cycle 25500000, cores done: 0/4, workloads completed: 242/1725 (14.0%)
[Simulator] Cycle 25600000, cores done: 0/4, workloads completed: 243/1725 (14.1%)
[Simulator] Cycle 25700000, cores done: 0/4, workloads completed: 243/1725 (14.1%)
[Simulator] Cycle 25800000, cores done: 0/4, workloads completed: 244/1725 (14.1%)
[Simulator] Cycle 25900000, cores done: 0/4, workloads completed: 244/1725 (14.1%)
[Simulator] Cycle 26000000, cores done: 0/4, workloads completed: 244/1725 (14.1%)
[Simulator] Cycle 26100000, cores done: 0/4, workloads completed: 244/1725 (14.1%)
[Simulator] Cycle 26200000, cores done: 0/4, workloads completed: 244/1725 (14.1%)
[Simulator] Cycle 26300000, cores done: 0/4, workloads completed: 244/1725 (14.1%)
[Deadlock] Cycle detected at cycle 26300000: C2 -> C3 -> C2
[Deadlock] Force-advancing core 2 (workload 53, completed 53)
[Simulator] Cycle 26400000, cores done: 0/4, workloads completed: 245/1725 (14.2%)
[Simulator] Cycle 26500000, cores done: 0/4, workloads completed: 246/1725 (14.3%)
[Simulator] Cycle 26600000, cores done: 0/4, workloads completed: 246/1725 (14.3%)
[Simulator] Cycle 26700000, cores done: 0/4, workloads completed: 248/1725 (14.4%)
[Simulator] Cycle 26800000, cores done: 0/4, workloads completed: 248/1725 (14.4%)
