cycle,core_id,old_state,new_state,workload_idx,layer_name,detail
9946,3,IDLE,LOADING,12,conv_2_0_b,"waiting_for=[t75(DRAM,18432B),t69(DRAM,103936B),t76(DRAM,103936B)]"
9979,2,LOADING,COMPUTING,12,conv_2_0_b,"compute_cycles=0,loading_dram_cycles=270,loading_core_cycles=0"
9980,2,COMPUTING,WRITEBACK,12,conv_2_0_b,"writeback_to_dram"
10068,1,LOADING,COMPUTING,13,conv_2_0_b,"compute_cycles=0,loading_dram_cycles=339,loading_core_cycles=0"
10069,1,COMPUTING,WRITEBACK,13,conv_2_0_b,"writeback_to_dram"
10142,2,WRITEBACK,IDLE,13,conv_2_0_b,"writeback_complete"
10143,2,IDLE,LOADING,13,conv_2_0_b,"waiting_for=[t68(DRAM,18432B),t81(DRAM,103936B),t87(DRAM,103936B)]"
10162,1,WRITEBACK,IDLE,14,conv_2_0_b,"writeback_complete"
10163,1,IDLE,LOADING,14,conv_2_0_b,"waiting_for=[t75(DRAM,18432B),t87(DRAM,103936B),t93(DRAM,103936B)]"
10197,0,LOADING,COMPUTING,14,conv_2_0_b,"compute_cycles=0,loading_dram_cycles=271,loading_core_cycles=0"
10198,0,COMPUTING,WRITEBACK,14,conv_2_0_b,"writeback_to_dram"
10285,3,LOADING,COMPUTING,12,conv_2_0_b,"compute_cycles=0,loading_dram_cycles=339,loading_core_cycles=0"
10286,3,COMPUTING,WRITEBACK,12,conv_2_0_b,"writeback_to_dram"
10359,0,WRITEBACK,IDLE,15,conv_2_0_b,"writeback_complete"
10360,0,IDLE,LOADING,15,conv_2_0_b,"waiting_for=[t68(DRAM,18432B),t88(DRAM,103936B),t95(DRAM,100352B)]"
10379,3,WRITEBACK,IDLE,13,conv_2_0_b,"writeback_complete"
10380,3,IDLE,LOADING,13,conv_2_0_b,"waiting_for=[t75(DRAM,18432B),t76(DRAM,103936B),t82(DRAM,103936B)]"
10414,2,LOADING,COMPUTING,13,conv_2_0_b,"compute_cycles=0,loading_dram_cycles=271,loading_core_cycles=0"
10415,2,COMPUTING,WRITEBACK,13,conv_2_0_b,"writeback_to_dram"
10502,1,LOADING,COMPUTING,14,conv_2_0_b,"compute_cycles=0,loading_dram_cycles=339,loading_core_cycles=0"
10503,1,COMPUTING,WRITEBACK,14,conv_2_0_b,"writeback_to_dram"
10574,2,WRITEBACK,IDLE,14,conv_2_0_b,"writeback_complete"
10575,2,IDLE,LOADING,14,conv_2_0_b,"waiting_for=[t68(DRAM,18432B),t87(DRAM,103936B),t93(DRAM,103936B)]"
10594,1,WRITEBACK,IDLE,15,conv_2_0_b,"writeback_complete"
10595,1,IDLE,LOADING,15,conv_2_0_b,"waiting_for=[t75(DRAM,18432B),t93(DRAM,103936B),t98(DRAM,100352B)]"
10627,0,LOADING,COMPUTING,15,conv_2_0_b,"compute_cycles=0,loading_dram_cycles=267,loading_core_cycles=0"
10628,0,COMPUTING,WRITEBACK,15,conv_2_0_b,"writeback_to_dram"
10717,3,LOADING,COMPUTING,13,conv_2_0_b,"compute_cycles=0,loading_dram_cycles=337,loading_core_cycles=0"
10718,3,COMPUTING,WRITEBACK,13,conv_2_0_b,"writeback_to_dram"
10790,0,WRITEBACK,IDLE,16,conv_2_0_c,"writeback_complete"
10791,0,IDLE,LOADING,16,conv_2_0_c,"waiting_for=[t94(DRAM,8192B),t95(DRAM,100352B),t102(DRAM,100352B)]"
10810,3,WRITEBACK,IDLE,14,conv_2_0_b,"writeback_complete"
10811,3,IDLE,LOADING,14,conv_2_0_b,"waiting_for=[t75(DRAM,18432B),t82(DRAM,103936B),t88(DRAM,103936B)]"
10845,2,LOADING,COMPUTING,14,conv_2_0_b,"compute_cycles=0,loading_dram_cycles=270,loading_core_cycles=0"
10846,2,COMPUTING,WRITEBACK,14,conv_2_0_b,"writeback_to_dram"
10931,1,LOADING,COMPUTING,15,conv_2_0_b,"compute_cycles=0,loading_dram_cycles=336,loading_core_cycles=0"
10932,1,COMPUTING,WRITEBACK,15,conv_2_0_b,"writeback_to_dram"
11000,2,WRITEBACK,IDLE,15,conv_2_0_b,"writeback_complete"
11001,2,IDLE,LOADING,15,conv_2_0_b,"waiting_for=[t68(DRAM,18432B),t93(DRAM,103936B),t98(DRAM,100352B)]"
11020,1,WRITEBACK,IDLE,16,conv_2_0_c,"writeback_complete"
